Name,Agency Code,Parent Organization,Child Organization(s),Acronym,Agency Type,Website
Mayor's Office of City Legislative Affairs,002,Mayor's Office of Intergovernmental Affairs (MOIGA),,Mayor's Office of City Legislative Affairs,Mayor's Office,https://www.nyc.gov/site/intergovernmental/city/city-legislative-affairs.page
Mayor's Office of Citywide Event Coordination and Management (CECM),002,,,CECM,Mayor's Office,https://www.nyc.gov/site/cecm/index.page
Mayor's Office of Climate and Environmental Justice (MOCEJ),002,,"Office of Environmental Coordination (MOEC),Office of Climate Resiliency (MOCR),Office of Environmental Remediation (OER)",MOCEJ,Mayor's Office,https://climate.cityofnewyork.us/about/
Mayor's Office of Communications (COMMS),002,,,COMMS,Mayor's Office,
Mayor's Office of Community Mental Health (OCMH),002,,,OCMH,Mayor's Office,https://mentalhealth.cityofnewyork.us/
Mayor's Office of Contract Services (MOCS),002,,,MOCS,Mayor's Office,https://www.nyc.gov/site/mocs/index.page
Mayor's Office of Criminal Justice (MOCJ),002,,"Office to Prevent Gun Violence,Office for the Prevention of Hate Crimes,Office of Special Enforcement (OSE)",MOCJ,Mayor's Office,https://criminaljustice.cityofnewyork.us/
Mayor's Office of Efficiency,002,,,Mayor's Office of Efficiency,Mayor's Office,
Mayor's Office of Engagement,002,,"NYC Service,Civic Engagement Commission (CEC),Public Engagement Unit (PEU),Mayor's Community Affairs Unit (CAU)",Mayor's Office of Engagement,Mayor's Office,
Mayor's Office of Equity (MOE),002,,"Young Men's Initiative (YMI),Commission on Gender Equity (CGE),Racial Justice Commission (RJC),Taskforce on Racial Inclusion & Equity (TRIE),Pay Equity Cabinet (PEC),Unity Project (UP)",MOE,Mayor's Office,https://www.nyc.gov/site/equity/about/about.page
Mayor's Office of Ethnic and Community Media (MOECM),002,Mayor's Office of Media and Entertainment (MOME),,MOECM,Mayor's Office,https://www.nyc.gov/site/mome/industries/community-media.page
Mayor's Office of Faith-Based and Community Partnerships (CFP),002,Mayor's Community Affairs Unit (CAU),,CFP,Mayor's Office,https://www.nyc.gov/site/cfcp/index.page
Mayor's Office of Federal Legislative Affairs (Fed Leg),002,Mayor's Office of Intergovernmental Affairs (MOIGA),,Fed Leg,Mayor's Office,https://www.nyc.gov/site/intergovernmental/federal/federal-legislative-affairs.page
Mayor's Office of Food Policy (MOFP),002,,,MOFP,Mayor's Office,https://www.nyc.gov/site/foodpolicy/index.page
Mayor's Office of Housing Recovery Operations (HRO),002,,,HRO,Mayor's Office,https://www.nyc.gov/site/housingrecovery/index.page
Mayor's Office of Immigrant Affairs (MOIA),002,,,MOIA,Mayor's Office,https://www.nyc.gov/site/immigrants/index.page
Mayor's Office of Intergovernmental Affairs (MOIGA),002,,"Mayor's Office of City Legislative Affairs,Mayor's Office of Federal Legislative Affairs (Fed Leg),Mayor's Office of State Legislative Affairs",MOIGA,Mayor's Office,https://www.nyc.gov/site/intergovernmental/index.page
Mayor's Office of Management and Budget (OMB),002,,,OMB,Mayor's Office,https://www.nyc.gov/site/omb/index.page
Mayor's Office of Media and Entertainment (MOME),002,,"NYC Media,""Office of Film, Theater & Broadcasting"",Office of Nightlife,Mayor's Office of Ethnic and Community Media (MOECM)",MOME,Mayor's Office,https://www.nyc.gov/site/mome/index.page
Mayor's Office of Minority and Women Owned Businesses (MWBE),002,,,MWBE,Mayor's Office,https://nyc-business.nyc.gov/nycbusiness/mwbe
Mayor's Office of Nonprofits (NYC NONPROFITS),002,,,NYC NONPROFITS,Mayor's Office,https://www.nyc.gov/site/nonprofits/index.page
Mayor's Office of Operations (OPS),002,,,OPS,Mayor's Office,https://www.nyc.gov/site/operations/index.page
Mayor's Office of Pensions & Investments,002,Department of Finance (DOF),,Mayor's Office of Pensions & Investments,Mayor's Office,https://www.nyc.gov/site/finance/about/divisions.page#:~:text=Mayor%E2%80%99s%20Office%20of%20Pensions%20and%20Investments
Mayor's Office of Policy and Planning,002,,,Mayor's Office of Policy and Planning,Mayor's Office,
Mayor's Office of Risk Management and Compliance (RMC),002,,,RMC,Mayor's Office,
Mayor's Office of Special Projects and Community Events (MOSPCE),002,,,MOSPCE,Mayor's Office,https://www.nyc.gov/site/mospce/index.page
"Mayor's Office of Sports, Wellness, and Recreation (MOSWR)",002,,,MOSWR,Mayor's Office,https://www.nyc.gov/content/sports/pages/
Mayor's Office of State Legislative Affairs,002,Mayor's Office of Intergovernmental Affairs (MOIGA),,Mayor's Office of State Legislative Affairs,Mayor's Office,https://www.nyc.gov/site/intergovernmental/state/state-legislative-affairs.page
Mayor's Office of Urban Agriculture,002,,,Mayor's Office of Urban Agriculture,Mayor's Office,https://www.nyc.gov/site/agriculture/index.page
Mayor's Office of Youth Employment (MOYE),002,,,MOYE,Mayor's Office,https://www.nyc.gov/site/youthemployment/index.page
Mayor's Office to End Domestic and Gender-Based Violence (ENDGBV),002,,,ENDGBV,Mayor's Office,https://www.nyc.gov/site/ocdv/index.page
Mayor's Office to Protect Tenants (MOPT),002,,,MOPT,Mayor's Office,https://www.nyc.gov/content/tenantprotection/pages/
Mayor’s Office of Innovation and Emerging Markets,002,,,Mayor’s Office of Innovation and Emerging Markets,Mayor's Office,
Mayor’s Office of Talent and Workforce Development (WKDEV),002,,,WKDEV,Mayor's Office,https://www.nyc.gov/site/wkdev/index.page
Mayors' Office of the Chief Counsel to the Mayor and City Hall,002,,,Mayors' Office of the Chief Counsel to the Mayor and City Hall,Mayor's Office,https://www.nyc.gov/site/counseltothemayor/index.page
Metropolitan Transportation Authority (MTA),998,,,MTA,Other,https://new.mta.info/
New York City Fire Department (FDNY),057,,,FDNY,City Department,https://www.nyc.gov/site/fdny/index.page
New York City Housing Authority (NYCHA),,,,NYCHA,Other,https://www.nyc.gov/site/nycha/index.page
New York City Police Department (NYPD),056,,,NYPD,City Department,https://www.nyc.gov/site/nypd/index.page
New York City Tax Commission (TAXCOMM),,,,TAXCOMM,Other,https://www.nyc.gov/site/taxcommission/index.page
New York City Water Board (NYWB),,,,NYWB,Other,https://www.nyc.gov/site/nycwaterboard/index.page
New York City Water Supply System (Water Supply),085,Department of Environmental Protection (DEP),,Water Supply,City Department,https://www.nyc.gov/site/dep/water/water-supply.page
New York County District Attorney (NYDA),901,,,NYDA,Other,https://manhattanda.org/
New York County Public Administrator (NYCPA),941,,,NYCPA,City Department,https://www.nyc.gov/site/nycountypa/index.page
New York Public Library (NYPL),037,,,NYPL,Other,https://www.nypl.org/
New York State Energy Research and Development Authority (NYSERDA),,,,NYSERDA,Other,nyserda.ny.gov
NYC & Company (NYCGO),,,,NYCGO,Other,nycgo.com
NYC Care,,NYC Health + Hospitals (H+H),,NYC Care,Other,https://www.nyccare.nyc/
NYC Cyber Command (NYC3),,Office of Technology and Innovation (OTI),,NYC3,Other,https://www.nyc.gov/content/oti/pages/meet-the-team/cyber-command
