Name,OperationalStatus_Confirmed,PreliminaryOrganizationType,NameAlphabetized_Confirmed
District Attorney - Richmond County,Active,Elected Office,District Attorney - Richmond County
District Attorneys,Active,Elected Office,District Attorneys
Domestic Violence Fatality Review Committee,Active,"Advisory, Oversight, or Regulatory Body",Domestic Violence Fatality Review Committee
Downtown Brooklyn Partnership,Active,Non-Governmental Organization,Downtown Brooklyn Partnership
Drug Strategy Advisory Council,Dissolved,"Advisory, Oversight, or Regulatory Body",Drug Strategy Advisory Council
Economic Development Corporation,Active,Authority or Public Benefit Corporation,Economic Development Corporation
Economic Development Corporation Board of Trustees,Ask Ops,"Advisory, Oversight, or Regulatory Body",Economic Development Corporation Board of Trustees
Economic Development Corporation Life Sciences Advisory Council,Ask Ops,"Advisory, Oversight, or Regulatory Body",Economic Development Corporation Life Sciences Advisory Council
Economic Development Corporation Real Estate Life Sciences Advisory Board,Ask Ops,"Advisory, Oversight, or Regulatory Body",Economic Development Corporation Real Estate Life Sciences Advisory Board
Educational Construction Fund,Active,Authority or Public Benefit Corporation,Educational Construction Fund
Environmental Control Board,Active,"Advisory, Oversight, or Regulatory Body",Environmental Control Board
Environmental Justice Advisory Board,Active,"Advisory, Oversight, or Regulatory Body",Environmental Justice Advisory Board
"Environmentally Preferable Purchasing, Use and Disposal of Textiles Task Force",Dissolved,"Advisory, Oversight, or Regulatory Body","Environmentally Preferable Purchasing, Use and Disposal of Textiles Task Force"
Equal Employment Practices Commission,Active,"Advisory, Oversight, or Regulatory Body",Equal Employment Practices Commission
Fair Recovery Task Force,Dissolved,"Advisory, Oversight, or Regulatory Body",Fair Recovery Task Force
Fashion Institute of Technology - Board of Trustees,Active,"Advisory, Oversight, or Regulatory Body",Fashion Institute of Technology - Board of Trustees
FDNY Department Pension Fund,Active,"Advisory, Oversight, or Regulatory Body",FDNY Department Pension Fund
Financial Information Services Agency,Active,Mayoral Agency,Financial Information Services Agency
Fire Department,Active,Mayoral Agency,Fire Department
First Deputy Mayor,Active,Mayoral Office,"Mayor, First Deputy"
Flushing Meadows Corona Park Alliance,Active,"Advisory, Oversight, or Regulatory Body",Flushing Meadows Corona Park Alliance
Food Service Establishment Advisory Board,Active,"Advisory, Oversight, or Regulatory Body",Food Service Establishment Advisory Board
Forest Park Trust,Active,Non-Governmental Organization,Forest Park Trust
Franchise and Concession Review Committee,Active,"Advisory, Oversight, or Regulatory Body",Franchise and Concession Review Committee
Fund for Public Schools,Active,Non-Governmental Organization,Fund for Public Schools
Future Workers Task Force,Dissolved,"Advisory, Oversight, or Regulatory Body",Future Workers Task Force
Gender and Racial Equity Advisory Board,Active,"Advisory, Oversight, or Regulatory Body",Gender and Racial Equity Advisory Board
Get Stuff Built Advisory Board,Active,"Advisory, Oversight, or Regulatory Body",Get Stuff Built Advisory Board
Gracie Mansion Conservancy,Active,Non-Governmental Organization,Gracie Mansion Conservancy
Gracie Mansion Conversancy Advisory Committee,Active,"Advisory, Oversight, or Regulatory Body",Gracie Mansion Conversancy Advisory Committee
Grand Central Partnership,Active,Non-Governmental Organization,Grand Central Partnership
Green Economy Advisory Council,Active,"Advisory, Oversight, or Regulatory Body",Green Economy Advisory Council
Greenbelt Conservancy,Active,Non-Governmental Organization,Greenbelt Conservancy
GrowNYC,Active,Non-Governmental Organization,GrowNYC
Handschu Committee,Active,"Advisory, Oversight, or Regulatory Body",Handschu Committee
Hardship Appeals Panel,Active,"Advisory, Oversight, or Regulatory Body",Hardship Appeals Panel
Health and Hospitals Corporation Board of Directors,Active,"Advisory, Oversight, or Regulatory Body",Health and Hospitals Corporation Board of Directors
Health and Hospitals Corporation Personnel Review Board,Active,"Advisory, Oversight, or Regulatory Body",Health and Hospitals Corporation Personnel Review Board
HIV Planning Council,Active,"Advisory, Oversight, or Regulatory Body",HIV Planning Council
HIV/AIDS Services Advisory Board,Active,"Advisory, Oversight, or Regulatory Body",HIV/AIDS Services Advisory Board
Housing Development Corporation,Active,Authority or Public Benefit Corporation,Housing Development Corporation
Housing Preservation & Development,Active,Mayoral Agency,"Housing Preservation and Development, Department of"
Housing Recovery Office,Active,Mayoral Office,"Housing Recovery Operations, Mayor's Office of"
Hudson River Park Trust,Active,Non-Governmental Organization,Hudson River Park Trust
Hudson River Valley Greenway Communities Council,Active,"Advisory, Oversight, or Regulatory Body",Hudson River Valley Greenway Communities Council
Hudson Yards Infrastructure Corporation,Active,Authority or Public Benefit Corporation,Hudson Yards Infrastructure Corporation
Hurricane Sandy Charitable Organizations and Houses of Worship Recovery Taskforce,Dissolved,"Advisory, Oversight, or Regulatory Body",Hurricane Sandy Charitable Organizations and Houses of Worship Recovery Taskforce
In Rem Foreclosure Board,Active,"Advisory, Oversight, or Regulatory Body",In Rem Foreclosure Board
Independent Budget Office,Active,"Advisory, Oversight, or Regulatory Body",Independent Budget Office
Independent Budget Office Advisory Committee,Active,"Advisory, Oversight, or Regulatory Body",Independent Budget Office Advisory Committee
Industrial Development Agency,Active,Authority or Public Benefit Corporation,Industrial Development Agency
Interagency Coordinating Council,Active,"Advisory, Oversight, or Regulatory Body",Interagency Coordinating Council
Intergovernmental Affairs,Active,Mayoral Office,"Intergovernmental Affairs, Mayor's Office of"
Intergovernmental Affairs - City Legislative Affairs,Active,Division,"City Legislative Affairs, Mayor's Office of"
Intergovernmental Affairs - Federal Legislative Affairs,Active,Division,Intergovernmental Affairs - Federal Legislative Affairs
Intergovernmental Affairs - State Legislative Affairs,Active,Division,Intergovernmental Affairs - State Legislative Affairs
"Jamaica Bay - Rockaway Parks Conservancy, Inc.",Active,Non-Governmental Organization,"Jamaica Bay - Rockaway Parks Conservancy, Inc."
Jamaica Bay Task Force,Active,"Advisory, Oversight, or Regulatory Body",Jamaica Bay Task Force
Jewish Advisory Council,Active,"Advisory, Oversight, or Regulatory Body",Jewish Advisory Council
Juvenile Justice Advisory Board,Active,"Advisory, Oversight, or Regulatory Body",Juvenile Justice Advisory Board
Kings County Public Administrator,Active,Non-Mayoral Agency,Public Administrator - Kings County
Land Development Corporation,Active,Authority or Public Benefit Corporation,Land Development Corporation
Landmarks Preservation Commission,Active,"Advisory, Oversight, or Regulatory Body",Landmarks Preservation Commission
Latin Media and Entertainment Commission,Active,"Advisory, Oversight, or Regulatory Body",Latin Media and Entertainment Commission
Law Department,Active,Mayoral Agency,Law Department
Local Conditional Release Commission,Active,"Advisory, Oversight, or Regulatory Body",Local Conditional Release Commission
Loft Board,Active,"Advisory, Oversight, or Regulatory Body","Loft Board, New York City"
Lower Manhattan Development Corporation,Active,Authority or Public Benefit Corporation,Lower Manhattan Development Corporation
Made in New York,Active,Non-Governmental Organization,Made in New York
Marshall Plan for Moms Task Force,Active,"Advisory, Oversight, or Regulatory Body",Marshall Plan for Moms Task Force
Mayor's Advance Team,Active,Mayoral Office,Mayor's Advance Team
Mayor's Advisory Committee on the Judiciary,Active,"Advisory, Oversight, or Regulatory Body","Judiciary, Mayor's Advisory Committee on the"
Mayor's Chief of Staff,Active,Mayoral Office,"Chief of Staff, Mayor's Office"
Mayor's Committee on City Marshals,Active,"Advisory, Oversight, or Regulatory Body","City Marshals, Mayor's Committee on"
Mayor's Fund Board of Advisors,Active,"Advisory, Oversight, or Regulatory Body",Mayor's Fund Board of Advisors
Mayor's Fund Board of Directors,Active,"Advisory, Oversight, or Regulatory Body",Mayor's Fund Board of Directors
Mayor's Fund to Advance New York City,Active,Non-Governmental Organization,Mayor's Fund to Advance New York City
Mayor's Office,Active,Elected Office,Mayor's Office
Mayor's Office - Executive Director of Talent and Workforce Development,Active,Mayoral Office,Mayor's Office - Executive Director of Talent and Workforce Development
Mayor's Office - Media and Research Analysis,Ask Ops,Mayoral Office,Mayor's Office - Media and Research Analysis
Mayor's Office - Senior Advisor and Director of Public Service Engagement,Active,Mayoral Office,Mayor's Office - Senior Advisor and Director of Public Service Engagement
Mayor's Office - Senior Advisor for External Affairs,Active,Mayoral Office,Mayor's Office - Senior Advisor for External Affairs
Mayor's Office - Senior Advisor to the Mayor,Active,Mayoral Office,Mayor's Office - Senior Advisor to the Mayor
